,Subgenres,under_KNN,under_Linear_SVM,under_Logistic_Regression,under_Decisiton_Tree,under_Random_Forest,under_Gradient_Boost,over_KNN,over_Linear_SVM,over_Logistic_Regression,over_Decisiton_Tree,over_Random_Forest,over_Gradient_Boost
dance pop,dance pop,0.5769811320754716,0.6420904462413896,0.6383048817011081,0.6300868523510033,0.6622701407607068,0.6458879904162923,0.7182840962608508,0.6599915111837247,0.6631757863299048,0.7884085019952596,0.874204851804261,0.8802218333129833
post-teen pop,post-teen pop,0.5749182039679778,0.6226406775728044,0.6285508759716905,0.6324956491472329,0.660113702285648,0.6447244459914143,0.6371522936821306,0.6305332354203694,0.6351507540362491,0.7025794389870975,0.7857114476573613,0.7883260075988974
electropop,electropop,0.6164692799555185,0.6580205726994717,0.6658993605782596,0.6524548234639977,0.6829969418960244,0.6810897970530998,0.7178715435221771,0.6662300759943169,0.6647780677582242,0.8004800067392104,0.8698904716313262,0.8887059906072257
indie poptimism,indie poptimism,0.5805605968945351,0.6343617664851784,0.6402097197015528,0.6250050413389796,0.6823149828594475,0.6589030046380319,0.841129922409378,0.656543029049814,0.6541482023961669,0.8814714934639115,0.9567886768429567,0.9629373387517532
hip hop,hip hop,0.6931515741642323,0.7101157632803202,0.7050416531429189,0.6940603700097372,0.7161960402466732,0.7092718814237802,0.7977379308470616,0.7047546254541379,0.7071989442092015,0.8442323011517562,0.8864564596698445,0.922428250896386
southern hip hop,southern hip hop,0.5907647907647907,0.621933621933622,0.618903318903319,0.6158730158730159,0.663059163059163,0.6513708513708514,0.9364678899082568,0.6904434250764526,0.6941131498470947,0.9484709480122324,0.9824923547400612,0.9920489296636086
gangster rap,gangster rap,0.576747311827957,0.6022177419354838,0.6188172043010752,0.6252016129032258,0.6590725806451612,0.6575268817204302,0.9067173669357202,0.7021925055001059,0.7042491084385203,0.9312014815293346,0.9726578641046162,0.9783759404612791
trap,trap,0.6077384100123391,0.6466948704389212,0.6412480169222633,0.6703507844174157,0.6854926846465714,0.6855455667195487,0.8045553908005563,0.700403394972085,0.6928537094503129,0.8490207268582921,0.928808175924369,0.9496634412053953
album rock,album rock,0.5369488536155204,0.5909171075837742,0.6179012345679011,0.6104938271604937,0.6253086419753087,0.6227513227513227,0.8779516670089682,0.6085967914926633,0.6180910978754478,0.8264211222929644,0.9424506515141143,0.9767061454553753
classic rock,classic rock,0.5531264057579847,0.5634278002699056,0.611336032388664,0.5976608187134503,0.6113360323886641,0.611336032388664,0.8504670906967059,0.6164125304947747,0.6223425310897948,0.8205361756499027,0.942770507050987,0.965149835429996
